TrueSpecies,subject_id,DateTimeLub,File,season,Classifications,n_different_classifications,n_wrong_classifications
['zebragrevys'],70365286,2021-02-03 10:53:27,Site_34_part1_IMG_0076,1,"[['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys']]",1,0
['buffalo'],70365312,2021-02-05 08:17:53,Site_34_part1_IMG_1013,1,"[['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo']]",1,0
['guineafowlvulturine'],70365329,2021-02-07 06:45:58,Site_34_part1_IMG_1319,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['birdother'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",3,2
['guineafowlvulturine'],70365337,2021-02-07 17:43:04,Site_34_part1_IMG_1333,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['impala'],70365341,2021-02-07 17:43:36,Site_34_part1_IMG_1337,1,"[['impala'], ['dikdik'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['dikdik'], ['impala'], ['impala'], ['impala']]",2,2
['dikdik'],70365356,2021-02-08 19:14:15,Site_34_part1_IMG_1352,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['birdother'],70365357,2021-02-09 08:40:23,Site_34_part1_IMG_1353,1,"[['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother']]",1,0
['guineafowlvulturine'],70365376,2021-02-12 06:47:33,Site_34_part1_IMG_1513,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['impala'],70365380,2021-02-12 12:12:27,Site_34_part1_IMG_1547,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['guineafowlvulturine'],70365389,2021-02-12 17:45:51,Site_34_part1_IMG_1608,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['birdother']]",2,1
['elephant'],70365395,2021-02-13 07:50:15,Site_34_part1_IMG_1615,1,"[['elephant'], ['elephant'], ['elephant'], ['elephant'], ['elephant'], ['elephant'], ['elephant'], ['elephant'], ['elephant'], ['elephant'], ['elephant']]",1,0
['dikdik'],70365400,2021-02-13 22:03:13,Site_34_part1_IMG_1742,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['dikdik'],70365408,2021-02-15 14:03:32,Site_34_part1_IMG_1959,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['dikdik'],70365414,2021-02-15 15:44:16,Site_34_part1_IMG_2037,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['dikdik'],70365417,2021-02-15 15:44:52,Site_34_part1_IMG_2040,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['guineafowlvulturine'],70365478,2021-02-19 06:40:53,Site_34_part1_IMG_3271,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['guineafowlvulturine'],70365481,2021-02-19 06:48:09,Site_34_part1_IMG_3274,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",2,1
['guineafowlvulturine'],70365482,2021-02-19 06:49:32,Site_34_part1_IMG_3275,1,"[['guineafowlvulturine'], ['birdother'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",2,1
['guineafowlvulturine'],70365488,2021-02-19 06:52:52,Site_34_part1_IMG_3281,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['guineafowlvulturine'],70365489,2021-02-19 06:53:51,Site_34_part1_IMG_3282,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['birdother'], ['guineafowlvulturine'], ['guineafowlhelmeted']]",3,3
['dikdik'],70365533,2021-02-19 19:33:49,Site_34_part1_IMG_3649,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['guineafowlvulturine'],70365543,2021-02-20 06:42:36,Site_34_part1_IMG_3660,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['zebraplains'], ['guineafowlvulturine'], ['guineafowlvulturine']]",3,2
['guineafowlvulturine'],70365544,2021-02-20 06:42:43,Site_34_part1_IMG_3661,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['guineafowlvulturine'],70365546,2021-02-20 06:43:33,Site_34_part1_IMG_3663,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted']]",2,1
['dikdik'],70365558,2021-02-21 03:57:49,Site_34_part1_IMG_3797,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['guineafowlvulturine'],70365566,2021-02-22 18:18:26,Site_34_part1_IMG_3877,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['impala'],70365568,2021-02-22 18:23:15,Site_34_part1_IMG_3879,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['dikdik'],70365586,2021-02-02 18:57:04,Site_35_part1_IMG_0018,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['impala'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",2,1
['warthog'],70365637,2021-02-04 16:57:33,Site_35_part1_IMG_0698,1,"[['warthog'], ['warthog'], ['warthog'], ['warthog'], ['warthog'], ['warthog'], ['warthog'], ['warthog'], ['warthog'], ['warthog'], ['birdother']]",2,1
['warthog'],70365638,2021-02-04 16:57:43,Site_35_part1_IMG_0699,1,"[['warthog'], ['warthog'], ['livestock'], ['warthog'], ['warthog'], ['buffalo'], ['warthog'], ['warthog'], ['buffalo'], ['warthog'], ['warthog']]",3,3
['guineafowlvulturine'],70365646,2021-02-05 10:22:11,Site_35_part1_IMG_0710,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['guineafowlvulturine'],70365647,2021-02-05 10:22:21,Site_35_part1_IMG_0711,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['guineafowlvulturine'],70365653,2021-02-05 10:23:39,Site_35_part1_IMG_0717,1,"[['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['birdother'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine']]",3,5
['guineafowlvulturine'],70365657,2021-02-05 10:26:29,Site_35_part1_IMG_0721,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['buffalo'],70365668,2021-02-05 16:36:28,Site_35_part1_IMG_0793,1,"[['buffalo'], ['buffalo'], ['livestock'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo']]",2,1
['buffalo'],70365674,2021-02-05 16:37:21,Site_35_part1_IMG_0800,1,"[['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['livestock'], ['buffalo']]",2,1
['buffalo'],70365685,2021-02-05 16:40:39,Site_35_part1_IMG_0811,1,"[['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo']]",1,0
['buffalo'],70365694,2021-02-05 16:41:57,Site_35_part1_IMG_0820,1,"[['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo']]",1,0
['buffalo'],70365696,2021-02-05 16:42:57,Site_35_part1_IMG_0822,1,"[['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo']]",1,0
['buffalo'],70365697,2021-02-05 16:44:08,Site_35_part1_IMG_0824,1,"[['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo']]",1,0
['buffalo'],70365703,2021-02-05 16:45:14,Site_35_part1_IMG_0830,1,"[['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo']]",1,0
['buffalo'],70365708,2021-02-05 16:45:45,Site_35_part1_IMG_0835,1,"[['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo']]",1,0
['guineafowlvulturine'],70365717,2021-02-06 07:01:36,Site_35_part1_IMG_0845,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted']]",2,2
['birdother'],70365727,2021-02-06 14:39:43,Site_35_part1_IMG_0935,1,"[['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother'], ['birdother']]",1,0
['dikdik'],70365743,2021-02-06 17:26:41,Site_35_part1_IMG_0972,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['dikdik'],70365744,2021-02-06 17:26:48,Site_35_part1_IMG_0973,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['dikdik'],70365757,2021-02-07 07:12:45,Site_35_part1_IMG_0988,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['zebragrevys'],70365773,2021-02-07 23:29:15,Site_35_part1_IMG_1010,1,"[['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys']]",1,0
['dikdik'],70365780,2021-02-08 07:32:12,Site_35_part1_IMG_1017,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['dikdik'],70365788,2021-02-09 06:53:56,Site_35_part1_IMG_1027,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
