,Unnamed: 0,subject_id,File,species,n_classes_no_na
140094,140095,84358194,Site_44_part7_IMG_1146.jpg,dikdik,1
12154,12155,70443024,Site_45_part4_IMG_6229.jpg,dikdik,1
15254,15255,70449541,Site_48_part1_IMG_6119.jpg,dikdik,1
115996,115997,77701387,Site_88_part3_IMG_9765.jpg,dikdik,1
7864,7865,70382805,Site_44_part2_IMG_0379.jpg,dikdik,1
12285,12286,70443469,Site_45_part5_IMG_2702.jpg,dikdik,1
8108,8109,70383071,Site_44_part2_IMG_2270.jpg,dikdik,1
157283,157284,84383918,Site_87_part4_IMG_6367.jpg,dikdik,1
25652,25653,70461401,Site_59_part1_IMG_1092.jpg,dikdik,1
95199,95200,77671908,Site_76_part6_IMG_8238.jpg,dikdik,1
11314,11315,70442123,Site_45_part2_IMG_4532.jpg,dikdik,1
119355,119356,77711211,Site_94_part3_IMG_5803.jpg,dikdik,1
48975,48976,70488909,Site_85_part2_IMG_0784.jpg,dikdik,1
95690,95691,77672440,Site_76_part7_IMG_5060.jpg,dikdik,1
154072,154073,84373042,Site_84_part4_RCNX0289.jpg,dikdik,1
7668,7669,70382597,Site_44_part1_IMG_6547.jpg,dikdik,1
151850,151851,84370701,Site_83_part3_IMG_0053.jpg,dikdik,1
123537,123538,77718686,Site_96_part1_IMG_3635.jpg,dikdik,1
26533,26534,70462454,Site_59_part1_IMG_6602.jpg,dikdik,1
105674,105675,77685323,Site_83_part2_IMG_6520.jpg,dikdik,1
82939,82940,70546466,Site_32_part1_IMG_7538.jpg,dikdik,1
7324,7325,70382226,Site_43_part2_IMG_2521.jpg,dikdik,1
93916,93917,77670560,Site_76_part6_IMG_2284.jpg,dikdik,1
15031,15032,70449291,Site_48_part1_IMG_3992.jpg,dikdik,1
34573,34574,70472544,Site_65_part2_IMG_1659.jpg,dikdik,1
24421,24422,70459980,Site_57_part1_IMG_2301.jpg,dikdik,1
160444,160445,84388310,Site_87_part5_IMG_5528.jpg,dikdik,1
34725,34726,70472711,Site_65_part3_IMG_2372.jpg,dikdik,1
58154,58155,70507104,Site_20_part1_IMG_3603.jpg,dikdik,1
